czech republic,Surveillance,"
=== Data retention ===

Telecommunication access logs has to be recorded under European data retention directive 2006/24/EC ([http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2006:105:0054:0063:EN:PDF CELEX 32006L0024]) since 2008. Databases are accessible by police, national security agencies. The retention period is 6 months minimal, 12 months maximal. [http://portal.gov.cz/zakon/127/2005/97 (source, cs)]

=== Incidents ===

In February 2011 the Education Ministry has been in the news for other reasons during the past few days. MfD reported two former directors of the minister's cabinet have been spying on approximately 20 officials, reading their e-mail correspondence and hacking into their computers. The minister has distanced himself from the scandal, but the newspaper reports he must have known about the surveillance. [http://www.romea.cz/english/index.php?id=detail&detail=2007_2188 (en)], [http://zpravy.idnes.cz/lide-okolo-dobese-spehovali-sve-podrizene-podle-mf-dnes-jim-cetli-postu-133-/domaci.asp?c=A110222_212156_domaci_abr (cz)], [http://www.ct24.cz/vysilani/2011/02/23/1096898594-211411000370223-22:00-udalosti-komentare/?streamtype=WM3 (cz video)].

"
czech republic,Intellectual Property,"
=== Copyright ===

[http://www.wipo.int/wipolex/en/text.jsp?file_id=137175 Law act 121/2000 (not current version!), en], ([http://portal.gov.cz/zakon/121/2000 current version, cs]) defines the copyright, there are some discussion about possible amendment of this act. OSA and Dilia are exercising their rights under § 95 of copyright act to collect ""author's fee"". This law has a large controversy in digital world as it applies itself also on blank media storage calculated off from its size. In other words, you pay a fix fee per megabyte if you're buying a blank media, even if you're going to use it to storage non-copyrighted content. At this day, it's 12 Kč per 1G of storage media, 10 Kč per 40G of hard drive, 5 Kč per blank DVD disk... ([http://portal.gov.cz/zakon/488/2006 source, cs])

=== Patents ===

Patents portfolios are not very wide-spread in Czech Republic. 7% of all parents are related to ICT. [http://www.czso.cz/csu/tz.nsf/i/patenty_v_ceske_republice_v_letech_1995_2009 (source, cs)]

"
czech republic,Agencies and Groups,"
* http://www.bsa.org/country.aspx?sc_lang=cs-CZ - BSA is active but has no legal background
* http://www.cpufilm.cz/ - Czech Anti-Piracy union
* http://www.osa.cz/osa---english.aspx - OSA is appointed by the Czech ministry of culture to collect money ""on behalf"" of musical artists
* http://www.dilia.cz/o-nas - Same as OSA, however for literature and theatre 

=== Digital and Information Related Agencies ===

=== Digital rights groups in CZ ===

* http://iure.org/ - Iuridicum Remedium, o.s. organizing Big brother awards every year
* http://brmlab.cz/ - Prague Hackerspace

"
denmark,Access to Communications,"Internet access in Denmark is generally available to all. The main telecommunications company has a commitment to provide telephone lines to all addresses in the country, and ADSL connections are quite cheap. The energy companies are rolling fiber-optic cables out, but it doesn't cover the whole country yet. 3G mobile broadband is also widely available.

"
denmark,Censorship,"The major ISPs voluntarily partake in censoring sites on a child pornography blacklist, governed by the Danish branch of the ''Save the Children'' NGO. Accesses to the blocked sites are allegedly not logged.

Several Danish ISPs have furthermore blocked (DNS) access to file sharing sites such as The Pirate Bay. List of such ISPs include Telenor, Stofanet and Tele2. The list of known sites on this other block list is

* thepiratebay.org
* allofmp3.com
* mp3sparks.com

"
denmark,Surveillance,"''Logningsbekendtgørelsen'', or the logging announcement, forces internet and cell phone providers to log information about IP addresses or IMEI numbers and their internet habits.

"
denmark,Intellectual Property,"
[http://www.antipiratgruppen.dk/ Antipiratgruppen] (The Anti-piracy Group) is the entertainment industry copyright enforcement agency.

"
denmark,Copyright,"
GENERAL:
[http://www.rettighedsportalen.dk/ Rettighedsportalen] is a site (in Danish) established by The Academy for Active Knowledge Sharing (Akademiet for Aktiv Vidensdeling) dedicated to providing information about copyrights and patents. Another resource (also in Danish) is [http://www.ophavsret.dk/ Ophavsret.dk] that also carries a comprehensive list of copyright enforcement agencies (http://www.ophavsret.dk/faq.php).
The Danish Cultural Ministry has also launched [http://www.kum.dk/infokiosk/ Info kiosk] to increase awareness on intellectual property and copyrights.

MUSIC: 
Since 2008, and as the second territory in the world (after The Netherlands' BUMA), Danish collecting society [http://www.koda.dk/ KODA] have allowed their members (songwriters) to use Creative Commons' non-commercial license ([http://creativecommons.org/about/licenses/ CC BY-NC 2.5 Denmark]) on their works.
[http://www.creativecommons.dk/koda/]

"
denmark,Patents,"
[http://www.dkpto.dk/ Patent- & Varemaerestyrelsen] (The Patents & Trademark Agency) is the body in charge of issuing patents in Denmark.

"
finland,Access to Communications,"
People have a right to a 1Mbps broadband connection.

"
finland,Censorship,"
There is voluntary censorship of suspected child pornography pages. Some of these sites do not include child pornography. [http://lapsiporno.info/english-2008-02-15.html (source)]

"
finland,Surveillance,"

"
finland,Intellectual Property,"
=== Copyright ===

=== Patents ===

"
finland,Agencies and Groups,"
Effi is a digital rights organization. The Pirate Party of Finland is also advocating digital rights.

=== Digital and Information Related Agencies ===


=== Digital rights groups in Finland ===


"
france,Access to Communications,"
=== Internet market and penetration ===

Internet access in France is generally available to all. The French ISP market is one of the most competitive in Europe, after an overhaul of telecoms regulation aimed at favoring innovative entrants in the early 2000's. Although there is a growing concentration in the last years, this has allowed for an important increase in penetration rates (now around 70%)<ref>﻿Croutte, Patricia. 2010. La diffusion des technologies de l’information et de la communication dans la société française.</ref>, with some of the highest speeds in Europe.

=== Net neutrality ===

Net neutrality is weakly protected. Telecoms regulator Arcep launched a wide public consultation in the Spring of 2010, trying to find the right way to implement the EU provisions of the telecoms package that regulate traffic discrimination. In October 2010, Arcep made [http://www.arcep.fr/uploads/tx_gspublication/net-neutralite-orientations-sept2010-eng.pdf 10 proposals] to protect Net neutrality. Although these provide an comprehensive conceptual toolbox to protect Net neutrality, so far the government and lawmakers prefer to stick to the status quo, waiting on the EU to make a move on the matter.

"
france,Censorship,"
The [http://en.wikipedia.org/wiki/Law_on_the_Freedom_of_the_Press_of_29_July_1881 Law on the Freedom of the Press] of 29 July 1881 speech includes a rather long list of categories of speech that are illegal in France, such as ""incitations to hate"", ""incitations to drug use"", ""apologia of war crimes"", defamation and insults.

On the Internet, illegal speech can be challenged through either a judiciary injunction or a takedown notice, as provided by the [http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=LEGITEXT000005789847&dateTexte=vig LCEN 2004-575 of June 21st], which transposes the EU [[e-Commerce directive]]. Filtering of child abuse material by the administrative authority is also being implemented, after the adoption of a law in February 2011.

=== Notice and Takedown ===

The law provides that Internet service providers are exempted of civil and criminal responsibility for infringing content posted by third parties if they acted promptly to remove or block access to it as soon as they discovered it. Today, ""cease and Desist"" letters are frequently used, even though the LCEN makes it illegal to threaten someone with legal action based on fake claims.

When the LCEN was voted by the Parliament, the Constitutional Council restricted the scope of the law by creating the category of ""manifestly illegal"", i.e content that is deemed illegal even in the absence of a court order, and for which the ISP is required to act promptly to prevent access to the said material. This category was initially limited to hate speech and pedophilia. With this ruling, the Council aimed at avoiding legal uncertainty for ISP (it stressed that is was difficult, “even for a lawyer”, to characterize a given information as illegal), thus protecting freedom of communication of Internet users.

However, this protective notice and takedown regime is undermined by its extension of the types of content that can be deemed “manifestly illegal” and which ISPs are required to remove upon notification. Through case law, judges have gone beyond the above-mentioned types of content and condemned host providers for not expeditiously removing copyright-infringing<ref> Cour d'appel de Paris, June 7th, 2006, Tiscali Media v.Dargaud. http://www.laquadrature.net/wiki/Jurisprudence_sur_la_communication_en_ligne#CA_Paris.2C_7_juin_2006.2C_Tiscali_Media_c.2F_Dargaud_Lombard.2C_Lucky_Comics</ref> and defamatory content<ref>Tribunal de Grande Instance de Paris, November 15th, 2004, Juris Data n° 2004-258504</ref>. In a 2008 ruling, a Parisian court went against the Constitutional Council decision by expanding the obligation for a host provider to act expeditiously to remove content that is “likely” to be unlawful<ref>Tribunal de Grande Instance de Paris, 15 avril 2008, Jean-Yves Lafesse c/ Dailymotion.
http://www.juriscom.net/jpt/visu.php?ID=1057 </ref>.

=== Judiciary regulation of online speech ===

The LCEN gives juges the possibility to require a hoster or a Internet access providers to take ""any measure"" to prevent injury or damage caused by online content (article 6-I-8). In practice, this provision has led to injunctions for content filtering, such as in the infamous case of the negationist webiste Aaargh, in which the French Court of Cassation confirmed a court order forcing all Internet Access Providers operating in the country to block access to this antisemitic website hosted in the United States.<ref> Aaargh case. Decision n° 707 of June, 19th, 2008. Cour de cassation, First civil chamber. http://www.courdecassation.fr/jurisprudence_2/premiere_chambre_civile_568/arret_no_11682.html</ref>.

Judiciary filtering was reasserted in the context of the HADOPI law aimed at tackling the sharing of cultural works over the Internet. In its article 10, the law grants judges the power to order “all measures needed to prevent or halt such damage to a right of authorship or a related right, against any entity able to help remedy it”.

The 2010 law on online gambling also provides such judiciary filtering measures. In August 2010, a judge ordered French IAPs to block access to a website hosted in the United Kingdom, explicitly referring to various Internet blocking methods, such as Deep Packet Inspection, that are very controversial for of their adverse effects on privacy<ref>Béjot Michel and Bouvier Caroline, 2010, « France: Gambling and Betting on the Internet: French Courts Steps In and Requires the Service Providers to Block an Illicit Website », Address : http://www.gala-marketlaw.com/joomla4/index.php?option=com_content&view=article&id=291&Itemid=182</ref>.

=== Administrative regulation of online speech ===

Administrative censorship of online content is regularly mentioned by various French politicians. In 2011, France has adopted an administrative censorship scheme under the guise of child protection. The [[LOPPSI]] bill provides that the Homeland Ministry maintains a blacklist of websites including child pornographic content to which French IAPs are required to block access. [http://www.laquadrature.net/en/administrative-net-censorship-adopted-in-france-pedophiles-unworried According] to advocacy group La Quadrature du Net, ""the Trojan horse of child protection opens the door to the generalized censorship of the Internet"".

In December 2010, the Ministry of Economy, which as competence over digital services, asked one of its bodies to reflect upon ways to prevent whistle-blowing website [[WikiLeaks]] from being hosted in France. However, no charges were pressed and the alleged infraction was never defined<ref>﻿Dehesdin, Cécile. “Eric Besson peut-il faire fermer Wikileaks?”, December 2010. http://www.slate.fr/story/31177/eric-besson-wikileaks-hebergeur</ref>. The French hoster of WikiLeaks, OVH, asked judges to determine whether WikiLeaks violates French law. In their [http://www.laquadrature.net/wiki/Jurisprudence_sur_la_communication_en_ligne#TGI_Lille_.2B_TGI_Paris.2C_6_d.C3.A9cembre_2010.2C_OVH.2C_Wikileaks decisions], the judges refused to say whether WikiLeaks was legal or not, invoking procedural hurdles. As of January 2011, WikiLeaks is still hosted in France by OVH.

"
france,Surveillance,"Since 2001, privacy and data protection rights in France have been particularly undermined by two laws: the [http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=LEGITEXT000005631673&dateTexte=20110104 Loi sur la Sécurité Quotidienne] (LSQ, Daily Safety Law), adopted in 2001, and the [http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000000412199 Loi sur la Sécurité Intérieure] (LSI, Homeland Security), adopted in 2003.

Police normally does not spy on private communications. However, recent scandals revealed that journalists have been spied on by secret services and that thousands of phone lines are scrutinized every year without a judicial authorization.

=== Internet surveillance ===
Internet Access Providers are required to keep a record of their customers' Internet activity and e-mail traffic for at least a year. The LSI grants law enforcement immediate access to the computer data of telecommunications operators, as well as other public and private institutions. Authorities can ask encryption tools providers to give them access to their codes so as to be able to read encrypted online messages.

In February 2011, the government passed a decree establishing the data that must be retained, at the transmission or modification of online content, by the hosting companies, during one year. The decree was described criticized for being much broader that was is required by law, since the information that must be retained include the identifier of the connection at the origin of the communication, the identifier attributed by the information system to the content that makes the object of the operation, the types of protocols used for the connection and for the content transfer, the nature of the operation, the date and hour of the operation and the identifier used by the author of the operation, when provided. Moreover, the hosting providers must also preserve, for one year after the deletion of an account, even more sensitive data such as the date and time when an account is created and the identifier of the connection, his/her complete name, pseudonyms, associated post addresses, e-mail and associated addresses, telephone numbers and even password. Judicial authorities as well as anti-terrorist law enforcement agencies will be able to access such data.

=== Video-surveillance ===

With the LOPPSI bill, a ""newspeak word"" has been created for video-surveillance : video-protection. Huge investments have been made by municipalities, although disputes over who should pay for their maintenance has delayed their adoption. (Cities say it must be paid by the police prefecture, which says the opposite). Big cities like Lyon and Paris have a dense video-surveillance network but it is notorious that the system is undermanned.

"
france,Intellectual Property,"
=== Copyright ===
One of the biggest issue regarding copyright in France is the extent to which case law has undermined the rights of the public in their relation to copyrighted works (for instance the right to private copy).

Downloading or uploading copyrighted material without authorization is both a civil and a criminal offence. France has been the inventor and biggest proponent of ""three strikes"" schemes to crack down on online file sharing. In June 2008, the government introduced a bill aimed at establishing an executive agency ([[HADOPI]]) endowed with the power to disconnect alleged file-sharers from the Internet for a duration of a up to a year after two warnings.

The law was blocked by a historic [http://www.conseil-constitutionnel.fr/decision//2009/decisions-par-date/2009/2009-580-dc/decision-n-2009-580-dc-du-10-juin-2009.42666.html decision] of the French Constitutional Council, which asserted that access to the Internet was a fundamental right protected by Article 11 of the 1789 Declaration of the Rights of Man and of the Citizen. This article states that ""The free communication of ideas and opinions is one of the most precious of the rights of man"". The Council added that Internet now plays an instrumental role in guaranteeing the effectiveness of that right – free speech –, emphasizing its importance for citizens' ""participation to the democratic life and the expression of ideas and opinions"". 

Following this ruling, a second HADOPI law was presented to ensure that the judiciary authority rather than the HADOPI (an administrative agency) would be competent to pronounce restrictions of Internet access (1500€ fine and a suspension of Internet access for up to one month). The law was finally adopted in the Fall of 2009, and the first e-mail warnings were sent in October 2010. However, observers doubt that any sanction will ever be pronounced due to the political risk the government would face.

=== Patents ===
Software Patents, as for all Europe, are not acceptable according to EU law. On the other hand, numerous attacks by groups in favor of software patents are being launched against this position. The European Patent Office is also famous for a strange practice : despite software patents being unenforceable in EU, it still accepts to register them. The trick is to patent a ""device running the algorithm X"" instead of ""algorithm X"". No such patent as been ever tested to court.

"
france,Right to data,"
=== Freedom of access ===

=== Open government data ===

=== Open Standards ===

"
germany,Access to Communications,"
"
germany,Censorship,"* very high Videogame Censorship
* Low(?) Internet censorship, censored Searches in Searchengines.
* inactive Zugangserschwerungsgesetz waiting for review (Law to aggravate the access to child pornography)

"
germany,Surveillance,"* video-surveillance in public places, trainstations, airports, busses, planes and trains

"
germany,Intellectual Property,"
=== Copyright ===

=== Patents ===
* Software-patents are not recognized

"
germany,Agencies and Groups,"
=== Digital and Information Related Agencies ===


=== Digital rights groups in Germany ===

* Working group on data retention (Arbeitskreis Vorratsdatenspeicherung) [http://www.vorratsdatenspeicherung.de AK VDS] [http://wiki.vorratsdatenspeicherung.de Wiki AK VDS]
* Lobbying for Whistleblower-Rights: [http://www.whistleblower-net.de Whistleblower-Netzwerk e.V.]
* Chaos Computer Club e.V.: [https://www.ccc.de CCC]
* FoeBuD e.V.: [https://www.foebud.org/ FoeBud]
* Piratenpartei Deutschland: [https://www.piratenpartei.de Piratenpartei]

"
hungary,Access to Communications,"The national telecom authority [http://www.elitehub.hu/hu/hir/20090801/elsofoku-hatarozat-a-upc-chello-korlatozasaval-kapcsolatban ruled], that it is illegal to throttle bandwith, there are only three cases where throttling is lawful:

* threat to the integrity of the network
* re-selling bandwidth
* unpaid bills

Anyway, all ISPs in Hungary do have some kind of throttling system running.

"
hungary,Censorship,"The Hungarian parliament has accepted a new law which allows a government body to [http://www.dw-world.de/dw/article/0,,6362238,00.html levy fines for news reporting not deemed to be 'politically balanced']

"
hungary,Surveillance,"=== Internet surveillance ===
The popular Hungarian online news portal Index [http://index.hu/tech/jog/orwell1/ reported] in 2002 that the National Security Services installed black boxes at every ISP quoting a local sysadmin ""Gentlemen in suits arrived and asked for a transparent port to the BIX [Budapest Internet Exchange] and the international connecton. They used it to hook up computers that we're not allowed to touch.""

In February 2010 Index published [http://index.hu/tech/2010/02/01/gazdat_cserel_a_kapitalis_bongo/ another article] about the ''[http://neti.com/en/products/bongo BONGO integrated monitoring system]'' which collects and provides data to certain parties (including private companies, even foreign ones).

=== Data Retention ===
The term was had to be reduced from 3 years to 2 years because the DRD does not allow for longer times and Hungary had already a Data Retention regulation{{Citation needed}}. The hungarian civil liberties union (TASZ) sent a study on the Romanian and German constitutional decisions{{Citation needed}} .

"
hungary,Intellectual Property,"
=== Copyright ===
[http://www.copyright-watch.org/state/hu/act-no-lxxvi-1999-on-copyright/2007-01-01 an english tranlation of the hungarian copyright law] by Artisjus is available via the cool new EFF site copyright watch.
* The tax on writable DVDs, USB sticks, memory cards, etc. is so high, that it makes sense to travel to a neighboring country and buy unlicensed storage abroad.
* Servers of torrent and SMS based fileshares are regularly confiscated.
* The ministry of education is running a campaign pushed by the entertainment industy.
* Private citizens are usually not targeted by lawsuits. (ProArt is only targeting illegal commercial distributors.)
* Education in copyright is very low.
* The schools are dominated by Microsoft software (Campus and MSDNAA).

=== Patents ===
Hungary is not really strong on patents ‒ it's only a very small market after all. The patent regulation is according to the EU law. Usually most corporations in Hungary have innovation programmes, which they use to collect the ideas of the hungarian workforce. These ideas are usually added to the corporations international patent pool. All the companies having most patents in Hungary are from the pharma industry.

Here is the [http://www.mszh.hu/hivatalrol/evjel2008.pdf 2008 report by the HPO]. Somewhere in the middle it gets interesting with a couple of pages of statistics:

<blockquote>Not more than 9% of the right-holders of valid patents were Hungarian (12% in the previous year), thus, only 1073 patents were owned by Hungarians. 91% of the right-holders were foreigners, of which the German (26%) and the US (15%) right-holders were in the lead. Of the European patents validated to the territory of Hungary, 32% belonged to German, 12% to US, 10% to French and 9% to Swiss right-holders.</blockquote>

"
hungary,Agencies and Groups,"=== [http://www.artisjus.hu/ Artisjus] ===

* music writers and some literary authors,
* a bunch of hungarian labels,
* + emi, universal, warner. 

=== [http://www.proart.hu/ ProArt], alliance for copyright ===
Members are
* Artisjus,
* [http://www.mahasz.hu/ hungarian record industry association (MAHASZ)],
* [http://www.eji.hu/ Association of the Arts Unions Bureau for the Protection of Performers' Rights (EJI)],
* [http://www.filmjus.hu/ Hungarian society for the protection of audio-visual authors' and producers' rights (FilmJUS)],
* [http://www.hungart.org/ HUNGART]. 

=== BSA ===
the usual suspects with some Hungarian companies added 

=== [http://www.asva.hu/ ASVA] (movies) ===
* Hungarian companies and
* Disney, Warner, Sony, Universal, MGM, 20th Century Fox, Paramount. Mostly represented by the same guy: Nicolas Znamensky, who is also on the board.
* President recently resigned (2009 Dec).

=== [http://www.hamisitasellen.hu/ HENT] ===
This is an organization steered by the justice ministry. These guys were having a roundtable in spring 2009 about the Hungarian three-strikes implementation. Since then nothing is heard, except for the occasional PR campaign, where they are disseminating entertainment industry propaganda.

Members are
* Hungarian Movie Distributors Association,
* Hungarian Patent Office,
* American Chamber of Commerce in Hungary,
* National Consumer Protection Authority,
* [http://english.ivsz.hu/ Association of IT, Telco & Electronics Companies in Hungary],
* ProArt,
* police,
* ASVA,
* BSA,
* [http://www.igy.hu/ Association of Innovative Pharmaceutical Manufacturers],
* and a bunch of ministries, etc.

=== Digital and Information Related Agencies ===

=== Digital rights groups in Hungary ===
* [http://odfa.hu Open Document Format Alliance]
* [http://tasz.hu Hungarian Civil Liberties Union] - also other active outside the digital realm
* Open Standards Alliance

"
hungary,Political stances,"
"
iceland,Access to Communications,"Internet access in Iceland is generally available to all. There are no [[Three Strikes]] laws or any other legal mandates that could restrict a persons access to Internet. Iceland's minister of education and culture stated in Parliament on 17. february 2010 that due to the high level of government services provided through Internet in Iceland and the use of the heavy use of Internet in commerce and other activities, ""it could be argued that access to the Internet has become part of the publics civil liberties. In that light I consider that caution should be exercised in adopting measures which limit access to the Internet for alleged copyright infringements."" ([http://www.althingi.is/altext/raeda/138/rad20100217T145731.html Katrín Jakobsdóttir's speech, in Icelandic])

"
iceland,Censorship,"There is currently no state censorship in Iceland. Some private censorship has been noted, such as in June 2009 when the two largest ISPs in Iceland, [[Vodafone]] and [[Síminn]], censored the anonymous forum ''ringulreið'' due to complaints about online bullying. This censorship caused a sufficient drop in access to the site that it was shut down.

"
iceland,Surveillance,"Icelandic law 81/2003, article 42, provides provisions for [[Data Retention]], at minimum sufficient to link customers to phone numbers, IP addresses and user names for any given point in time, as well as information about every connection that was made, to where, the duration thereof, and the amount of traffic registered. The existence of [[unregistered prepaid SIM card]]s and open WiFi hotspots are amongst of many examples that show that this law is not strictly enforced. It is also known that many [[ISP]]s only retain communications data on IP networks for foreign traffic.

There has been some proliferation of CCTV cameras for law enforcement purposes in recent years.

"
iceland,Intellectual Property,"
=== Copyright ===
Iceland adopted [[IPRED]] in their copyright law in 2010.

=== Patents ===

"
ireland,Access to Communication,"
"
ireland,Censorship,"
"
ireland,Surveillance,"

"
ireland,Intellectual Property,"
=== Copyright ===

=== Patents ===

"
ireland,Agencies and Groups,"
=== Digital and Information Related Agencies ===

Privacy International - Privacy Profile Ireland
https://www.privacyinternational.org/article/ireland-privacy-profile

=== Digital rights groups in Ireland ===

Digital Rights Ireland
http://www.digitalrights.ie/

Free Culture Ireland
https://groups.google.com/group/free-culture-ireland

Pirate Party Ireland
http://pirateparty.ie/

"
italy,Access to Communications,"Today, Internet access in Italy is generally available to all. 
In 2005, in order to reduce the risk of public telecommunications and Internet facilities being used by terrorists, the Italian government passed the Pisanu Decree which introduced serious restrictions on Wi-Fi access in public places. The Decree required every Wi-Fi provider to obtain prior authorization from the police, as well as to provide Wi-Fi access only to those users whose identity could be ascertained through an official government-issued identification document, and under the condition that a record of every Internet connection was kept. The Decree has been strongly criticized and the Italian Minister of Home Affairs, Roberto Maroni announced that public Wi-Fi access will be liberalised in Italy starting from January 2011.


"
italy,Censorship,"Italy blocks access to foreign gambling operators over the Internet by requiring that every Italian ISP  modify their DNS entries accordingly. Italy is also blocking access to many websites containing child pornography. In 2008, access to the Pirate Bay website has been banned by virtue of a law on electronic commerce. Censorship has been lifted on appeal, although access to the website has been blocked again as of 25 May 2010.<br>
On the 17th of December 2010, Italy's Communication Authority (AgCom) approved a new set of regulations for the protection of authors' rights which is currently under public consultation.
The regulation provides for the introduction of a system of Notice and Take-down according to which the AgCom would be entitled to request the removal of copyrighted content which has been illegitimately published in the Italian territory.
The regulation also suggests the possibility of filtering certain Internet websites whose sole purpose is the dissemination of infringing content, or whose servers are located outside of the national territory.

"
italy,Surveillance,"Article 132 of the Data Protection Code requires every telecommunication service provider to retain  telephone traffic data (without location data) for a period of 48 months for the purpose of detecting and preventing crime. The Law Decree of July 27th 2005 on Anti-terror Measures introduced a minimum data retention period of 29 months for telephone data (including location data) and of 6 months for Internet traffic data. The retention period has subsequently been amended by Law Decree 151/2008 which reduced it to 24 months for telephone traffic, while increasing it to 12 months for Internet traffic necessary to the proper operation of judicial investigations.
The content of communications are excluded from this rule and cannot be recorded unless in compliance with interception legislation.

"
italy,Intellectual Property,"
=== Copyright ===
The regulation of copyright for fine arts, literary works and cultural content in general is covered in [http://www.interlex.it/testi/l41_633.htm Law 633/1941]. The first legislation regulating performing arts as a whole (music, dance, theatre and cinema) is [http://www.dirittoproarte.com/leggispe/Legge163.htm Law 163/1985] which created the Unified Fund for the Performing Arts (Fondo Unico per lo Spettacolo).<br>
In Italy, the main Copyright Agency is the General Direction for Library Heritage and Cultural Institutes ([http://www.librari.beniculturali.it/ DGBLIC]), whose Section III is in charge of the administration of copyright works and the supervision over the Italian Society of Authors and Publishers ([http://www.siae.it S.I.A.E]) in conjunction with the Presidency of the Council of Ministers.
On 23 December 2008, representatives of the SIAE and members of [http://creativecommons.it/ Creative Commons Italy] established a Joint Working Group to investigate the possibility for authors who released their works under a Creative Commons license that precludes commercial exploitation to entrust the SIAE with the collection and redistribution of proceeds. Thus far, nothing has however been officially agreed.

=== Patents ===
In Italy, patents are granted by the Italian Patent and Trademark Office ([http://www.uibm.gov.it Ufficio italiano Brevetti e Marchi]), who is in charge of the industrial property regulatory system in the framework of the Directorate General for Developing Productivity and Competitiveness (DGSPC) of the Ministry of Productive Activities.
Article 12 of the Italian Patent Law ([http://www.bugnion.it/legislazione_italia_dett.php?id=7 Law 1127/1939] as amended by the Presidential Decree 388/1979) implements article 52 of the EPC by providing that computer programs are not patentable as such.

"
italy,Agencies and Groups,"
=== Digital and Information Related Agencies ===


=== Digital rights groups in Italy ===
==== Winston Smith Project ====
The Winston Smith Project (Italian: Progetto Winston Smith, or PWS) is an informational and operational project for the defence of human rights on the Internet and in the digital era. It was started in 1999 as an anonymous association and it is characterised by the absence of a physical reference identity. Every year, the Project organize in Florence the e-privacy conference (concerning technical, social and juridical aspects of privacy in the network) and the Italian section of Big Brother Awards.

Project web site (in Italian): http://pws.winstonsmith.org/

Wikipedia page about the Project: http://en.wikipedia.org/wiki/Winston_Smith_Project

"
