Country,Ratification,treaty,Entry,Signature,Note,Territorial Application,Declarations,Reservations,Communication,Authorities,Denunciation,Effect denunciation,Objection
Denmark,13/4/1953,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,18/5/1954,20/3/1952,,,,,,,,,
Estonia,16/4/1996,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,16/4/1996,14/5/1993,,,X,X,,,,,
Finland,10/5/1990,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,10/5/1990,5/5/1989,,,,,,,,,
France,3/5/1974,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,3/5/1974,20/3/1952,,X,,,,,,,
Georgia,7/6/2002,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,7/6/2002,17/6/1999,,,X,X,,,,,
Germany,13/2/1957,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,13/2/1957,20/3/1952,,X,X,,,,,,
Greece,28/11/1974,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,28/11/1974,20/3/1952,,,,X,,,,,
Hungary,5/11/1992,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,5/11/1992,6/11/1990,,,,,,,,,
Iceland,29/6/1953,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,18/5/1954,20/3/1952,,,,,,,,,
Ireland,25/2/1953,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,18/5/1954,20/3/1952,,,X,,,,,,
Italy,26/10/1955,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,26/10/1955,20/3/1952,,,,,,,,,
Latvia,27/6/1997,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,27/6/1997,21/3/1997,,,,X,,,,,
Liechtenstein,14/11/1995,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,14/11/1995,7/5/1987,,,,,,,,,
Lithuania,24/5/1996,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,24/5/1996,14/5/1993,,,,,,,,,
Luxembourg,3/9/1953,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,18/5/1954,20/3/1952,,,,X,,,,,
Malta,23/1/1967,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,23/1/1967,12/12/1966,,,X,,,,,,
Moldova,12/9/1997,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,12/9/1997,2/5/1996,,,X,,,,,,
Monaco,,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,,5/10/2004,,,,,,,,,
Montenegro,3/3/2004,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,6/6/2006,3/4/2003,56,,,,,,,,
Netherlands,31/8/1954,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,31/8/1954,20/3/1952,,X,X,,,,,,
Norway,18/12/1952,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,18/5/1954,20/3/1952,,,,,,,,,
Poland,10/10/1994,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,10/10/1994,14/9/1992,,,,,,,,,
Portugal,9/11/1978,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,9/11/1978,22/9/1976,,,,X,,,,,
Romania,20/6/1994,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,20/6/1994,4/11/1993,,,X,,,,,,
Russia,5/5/1998,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,5/5/1998,28/2/1996,,,,,,,,,
San Marino,22/3/1989,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,22/3/1989,1/3/1989,,,,X,,,,,
Serbia,3/3/2004,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,3/3/2004,3/4/2003,56,,,,,,,,
Slovakia,18/3/1992,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,1/1/1993,21/2/1991,17,,,,,,,,
Slovenia,28/6/1994,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,28/6/1994,14/5/1993,,,,,,,,,
Spain,27/11/1990,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,27/11/1990,23/2/1978,,,,X,,,,,
Sweden,22/6/1953,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,18/5/1954,20/3/1952,,,,X,,,,,
Switzerland,,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,,19/5/1976,,,,,,,,,
Macedonia,10/4/1997,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,10/4/1997,14/6/1996,,,,X,,,,,
Turkey,18/5/1954,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,18/5/1954,20/3/1952,,,,X,,,,,
Ukraine,11/9/1997,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,11/9/1997,19/12/1996,,,,,,,,,
United Kingdom,3/11/1952,Protocol to the Convention for the Protection of Human Rights and Fundamental Freedoms,18/5/1954,20/3/1952,,,,X,,X,,,
Albania,4/6/1998 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,4/6/1998,,,,,,,,,,
Andorra,24/11/1998 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,24/11/1998,,,,,,,,,,
Armenia,25/6/2001 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,25/6/2001,,,,,,,,,,
Austria,9/5/1957 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,9/5/1957,,,,,,,,,,
Azerbaijan,16/1/2002 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,16/1/2002,,,,,,,,,,
Belgium,24/7/1953,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,6/11/1952,,,,,,,,,
Bosnia and Herzegovina,3/10/2003,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,3/10/2003,,,,,,,,,,
Bulgaria,7/5/1992 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,7/5/1992,,,,,,,,,,
Croatia,11/10/1997 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/10/1997,,,,,,,,,,
Cyprus,30/11/1967 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,30/11/1967,,,,,,,,,,
Czech Republic,28/4/1995 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,28/4/1995,,,,,,,,,,
Denmark,2/9/1953,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,6/11/1952,,,,,,,,,
Estonia,11/1/1995 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/1/1995,,,,,,,,,,
Finland,16/11/1989 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,16/11/1989,,,,,,,,,,
France,10/3/1978,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,10/3/1978,6/11/1952,,,,,,,,,
Georgia,25/5/2000 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,25/5/2000,,,,,,,,,,
Germany,10/9/1954 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,,,X,X,X,,,,,
Greece,17/11/1953,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,6/11/1952,,,,,,,,,
Hungary,6/11/1990 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,6/11/1990,,,,,,,,,,
Iceland,11/3/1955 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,,,,,,,,,,
Ireland,21/9/1967,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,21/9/1967,6/11/1952,,,,,,,,,
Italy,11/7/1956,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,6/11/1952,,,,,,,,,
Latvia,15/1/1998 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,15/1/1998,,,,,,,,,,
Liechtenstein,16/5/1979 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,16/5/1979,,,,,,,,,,
Lithuania,22/7/1998 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,22/7/1998,,,,,,,,,,
Luxembourg,29/6/1953,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,6/11/1952,,,,,,,,,
Malta,22/1/1969 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,22/1/1969,,,,,,,,,,
Moldova,2/10/1997 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,2/10/1997,,,,,,,,,,
Monaco,30/11/2005 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,30/11/2005,,,,,,,,,,
Montenegro,11/7/2008 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/2008,,,,,,,,,,
Netherlands,19/6/1953,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,6/11/1952,,X,,,,,,,
Norway,24/4/1953,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,6/11/1952,,,,,,,,,
Poland,16/3/1993 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,16/3/1993,,,,,,,,,,
Portugal,6/7/1982 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,6/7/1982,,,,,,,,,,
Romania,4/10/1994 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,4/10/1994,,,,,,,,,,
Russia,28/2/1996 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,28/2/1996,,,,,,,,,,
San Marino,22/3/1989 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,22/3/1989,,,,,,,,,,
Serbia,26/4/2005 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,26/4/2005,,54,,,,,,,,
Slovakia,5/12/1996 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,5/12/1996,,,,,,,,,,
Slovenia,8/11/1994 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,8/11/1994,,,,,,,,,,
Spain,23/6/1982 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,23/6/1982,,,,,,,,,,
Sweden,30/4/1953,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,6/11/1952,,,,,,,,,
Switzerland,29/11/1965 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,29/11/1965,,,,,,,,,,
Macedonia,10/4/1997 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,10/4/1997,,,,,,,,,,
Turkey,7/1/1960,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,7/1/1960,6/11/1952,,,,,,,,,
Ukraine,6/11/1996 a,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,6/11/1996,,,,,,,,,,
United Kingdom,18/11/1954,Protocol to the General Agreement on Privileges and Immunities of the Council of Europe,11/7/1956,6/11/1952,,,,,,,,,
Albania,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Andorra,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Armenia,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Austria,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Azerbaijan,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Belgium,3/4/1957,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/5/1957,11/12/1953,,,X,X,,,,,
Bosnia and Herzegovina,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Bulgaria,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Croatia,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Cyprus,14/3/1973,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/4/1973,3/3/1972,,,X,,,,,,
Czech Republic,8/9/2000,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/2000,25/2/1998,,,X,,,,,,
Denmark,30/6/1954,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/7/1954,11/12/1953,,,X,X,,,,,
Estonia,17/4/2002,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/5/2002,1/12/1999,,,X,,,,,,
Finland,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
France,18/12/1957,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/1/1958,11/12/1953,,,X,X,,,,,
Georgia,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Germany,24/8/1956,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/9/1956,11/12/1953,,,X,,,,,,
Greece,29/5/1961,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/6/1961,11/12/1953,,,X,,,,,,
Hungary,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Iceland,4/12/1964,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/1/1965,11/12/1953,,,X,X,,,,,
Ireland,31/3/1954,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/7/1954,11/12/1953,,,X,,,,,,
Italy,26/8/1958,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/9/1958,11/12/1953,,,X,X,,,,,
Latvia,13/8/2001,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/9/2001,13/4/2000,,,X,X,,,,,
Liechtenstein,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Lithuania,18/11/1999,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/12/1999,19/11/1997,,,X,,,,,,
Luxembourg,18/11/1958,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/12/1958,11/12/1953,,,X,,,,,,
Malta,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Moldova,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Monaco,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Montenegro,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Netherlands,11/3/1955,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/4/1955,11/12/1953,,,X,,,,,,
Norway,9/9/1954,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,X,X,,,,,
Poland,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Portugal,21/4/1978,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/5/1978,27/4/1977,,,X,,,,,,
Romania,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Russia,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
San Marino,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Serbia,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Slovakia,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Slovenia,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Spain,31/1/1984,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/2/1984,9/2/1981,,,X,,,,,,
Sweden,2/9/1955,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/1955,11/12/1953,,,X,X,,,,,
Switzerland,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Macedonia,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Turkey,14/4/1967,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/5/1967,11/12/1953,,,X,,,,,,
Ukraine,,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
United Kingdom,7/9/1954,"European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,X,X,,,,,
Albania,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Andorra,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Armenia,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Austria,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Azerbaijan,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Belgium,3/4/1957,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/5/1957,11/12/1953,,,,,,,,,
Bosnia and Herzegovina,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Bulgaria,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Croatia,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Cyprus,14/3/1973,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/4/1973,3/3/1972,,,,,,,,,
Czech Republic,8/9/2000,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/2000,25/2/1998,,,X,,,,,,
Denmark,5/5/1965,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/11/1965,4/3/1965,,,,,,,,,
Estonia,17/4/2002,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/5/2002,1/12/1999,,,,,,,,,
Finland,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
France,18/12/1957,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/1/1958,11/12/1953,,,,,,,,,
Georgia,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Germany,24/8/1956,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/9/1956,11/12/1953,,,,,,,,,
Greece,29/9/1961,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/1961,11/12/1953,,,,,,,,,
Hungary,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Iceland,4/12/1964,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/1965,11/12/1953,,,,,,,,,
Ireland,31/3/1954,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,,,,,,,
Italy,26/8/1958,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/9/1958,11/12/1953,,,,,,,,,
Latvia,13/8/2001,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/9/2001,13/4/2000,,,,,,,,,
Liechtenstein,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Lithuania,18/11/1999,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/12/1999,19/11/1997,,,X,,,,,,
Luxembourg,18/11/1958,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/12/1958,11/12/1953,,,,,,,,,
Malta,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Moldova,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Monaco,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Montenegro,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Netherlands,11/3/1955,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/4/1955,11/12/1953,,,,,,,,,
Norway,9/9/1954,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,,,,,,,
Poland,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Portugal,21/4/1978,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/5/1978,27/4/1977,,,,,,,,,
Romania,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Russia,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
San Marino,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Serbia,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Slovakia,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Slovenia,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Spain,31/1/1984,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/2/1984,9/2/1981,,,,,,,,,
Sweden,2/9/1955,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/1955,11/12/1953,,,,,,,,,
Switzerland,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Macedonia,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
Turkey,14/4/1967,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/5/1967,11/12/1953,,,,,,,,,
Ukraine,,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",,,,,,,,,,,
United Kingdom,7/9/1954,"Protocol to the European Interim Agreement on Social Security Schemes Relating to Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,,,,,,,
Albania,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Andorra,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Armenia,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Austria,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Azerbaijan,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Belgium,3/4/1957,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/5/1957,11/12/1953,,,X,,,,,,
Bosnia and Herzegovina,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Bulgaria,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Croatia,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Cyprus,14/3/1973,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/4/1973,3/3/1972,,,X,,,,,,
Czech Republic,8/9/2000,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/2000,25/2/1998,,,X,,,,,,
Denmark,30/6/1954,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/7/1954,11/12/1953,,,X,,,,,,
Estonia,17/4/2002,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/5/2002,1/12/1999,,,X,,,,,,
Finland,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
